part,tag,P,M,sigma_bins,sigma_x,L,S,particle_bias_rmse,particle_spread_rmse,rmse_total_mean,rmse_total_std,rmse_particle_mean,rmse_particle_std,l2_total_mean,l2_total_std,rmse_phi_mean,rmse_phi_std,rmse_phi_x_mean,rmse_phi_x_std,rmse_ratio_mean,rmse_ratio_std,clip_mean,clip_std,min_phi_mean,min_phi_std,endpoint_residual_mean,endpoint_residual_std
A,P100,100,400,12.0,0.12030075187969924,4.0,20,0.040873854112859605,0.22398732947380084,0.28424754192820284,0.04658315897492581,0.22407388483304622,0.04039665642935135,0.5692070379035199,0.09328299466175767,0.04328751982002339,0.01584908270860991,0.12917890931839332,0.028270118638393352,0.22407388483304622,0.04039665642935135,0.0,0.0,0.34627132773074265,0.027266104419665274,3.8302694349567903e-16,2.8408479084527343e-16
A,P200,200,400,12.0,0.12030075187969924,4.0,20,0.04136273345382814,0.1430979780964407,0.23446791775357695,0.029884483622524244,0.14702331548731604,0.023917603499911677,0.4695231066646482,0.059843818830102286,0.027706598866935946,0.0076798455840790154,0.08703905876527537,0.018165291005312608,0.14702331548731604,0.023917603499911677,0.0,0.0,0.3302231315135571,0.019056363013858345,9.658940314238861e-16,3.564836061454262e-16
A,P400,400,400,12.0,0.12030075187969924,4.0,20,0.019434730876706524,0.09823592365023565,0.19490981735011476,0.02180610133781763,0.0984828988170668,0.018141777758872473,0.39030782479096293,0.04366682035849693,0.018635669131853216,0.00642341216501785,0.05658996786802926,0.010503182288376597,0.0984828988170668,0.018141777758872473,0.0,0.0,0.34285075338298576,0.010530029708625896,4.662936703425658e-16,3.708876114780783e-16
A,P800,800,400,12.0,0.12030075187969924,4.0,20,0.016256444763295352,0.07326788183123305,0.19300819461979973,0.01674865140044456,0.07407666861575377,0.01204581550453947,0.38649981634103936,0.03353925310261332,0.014289651034247921,0.005060857684312496,0.04291043644642116,0.010517776478415378,0.07407666861575377,0.01204581550453947,0.0,0.0,0.34292075252107285,0.009930297380783425,3.9968028886505636e-16,4.84444134347038e-16
A,P1600,1600,400,12.0,0.12030075187969924,4.0,20,0.0219072337384451,0.05151318081325269,0.18382914596690877,0.010828561579484678,0.05465316812188821,0.012106440509512078,0.368118728296999,0.021684245427779983,0.011504505275933562,0.004542453286897648,0.03150095455564374,0.006340444796234226,0.05465316812188821,0.012106440509512078,0.0,0.0,0.34083048111068337,0.005872195798882001,4.8072656966269275e-15,4.750664949278931e-16
A,P3200,3200,400,12.0,0.12030075187969924,4.0,20,0.011879870119890485,0.03780258322110363,0.18200687044893077,0.007758377514152802,0.038936350290225415,0.007357121606361809,0.3644696130124968,0.015536187415417117,0.008185804750623981,0.0031543123972493916,0.022785235926618873,0.005165878457271856,0.038936350290225415,0.007357121606361809,0.0,0.0,0.342959009797421,0.00384022670297628,4.435340983377501e-15,5.611570632426278e-16
B,M100,400,100,2.977443609022556,0.12030075187969923,4.0,20,0.02946040859171343,0.09739476075648452,0.20422599847449355,0.021834879198094046,0.09999677933271293,0.018822837732081564,0.4105097026518723,0.043889758571402517,0.02193344593107869,0.00798360524543149,0.058720445290860714,0.0106642170625037,0.09999677933271293,0.018822837732081564,0.0,0.0,0.3407707689470771,0.010508798236231647,4.3298697960381104e-16,2.648295014812466e-16
B,M200,400,200,5.984962406015037,0.12030075187969924,4.0,20,0.020470894576304643,0.09796821286003726,0.1972295036998985,0.021942265757791412,0.09842318750171607,0.0181577646682016,0.39544886844776295,0.043994655983627944,0.01920916219121685,0.006896386226147219,0.05664570708455213,0.010382858788322345,0.09842318750171607,0.0181577646682016,0.0,0.0,0.34202058496353105,0.010440243387013848,4.940492459581947e-16,2.947323263770737e-16
B,M400,400,400,12.0,0.12030075187969924,4.0,20,0.019434730876706524,0.09823592365023565,0.19490981735011476,0.02180610133781763,0.0984828988170668,0.018141777758872473,0.39030782479096293,0.04366682035849693,0.018635669131853216,0.00642341216501785,0.05658996786802926,0.010503182288376597,0.0984828988170668,0.018141777758872473,0.0,0.0,0.34285075338298576,0.010530029708625896,4.662936703425658e-16,3.708876114780783e-16
B,M800,400,800,24.030075187969924,0.12030075187969924,4.0,20,0.019790575883820275,0.09823514188499988,0.19376760886230834,0.02168976037763837,0.09862067123496664,0.01777000844524078,0.38777765454390295,0.0434066583999425,0.018493801817244818,0.006193870676320721,0.056747690112641046,0.010338481221359795,0.09862067123496664,0.01777000844524078,0.0,0.0,0.34327691613245437,0.010480704190420681,6.050715484207103e-16,5.093431723590081e-16
B,M1600,400,1600,48.09022556390977,0.12030075187969923,4.0,20,0.020115803961922057,0.09826889365732455,0.193286545044485,0.021648127377450477,0.0987416290687884,0.01764969457273524,0.38669395083604957,0.043309791180041725,0.018506990563822982,0.006134289642727383,0.05688089427972191,0.010382214140172678,0.0987416290687884,0.01764969457273524,0.0,0.0,0.34350597884782774,0.010520326880684317,6.328271240363392e-16,6.232100258379254e-16
C,s0.03,400,400,2.9924999999999997,0.029999999999999995,4.0,20,0.054758995059950896,0.22351005107674965,0.282136929352386,0.0193136579295351,0.22941680501554113,0.01797832163379308,0.5649805263062933,0.03867569072568905,0.0214892091476665,0.006066745348910892,0.1334202211755004,0.011628165394419016,0.22941680501554113,0.01797832163379308,0.0,0.0,0.3373703758072091,0.01097823829851219,5.828670879282072e-16,3.6295124768498446e-16
C,s0.06,400,400,5.984999999999999,0.05999999999999999,4.0,20,0.03455896347338475,0.15236429589736766,0.22656251924137102,0.02128871808371091,0.15483767194921574,0.02084456682213358,0.4536925090100296,0.04263075796185054,0.020502743020374872,0.006254812829579401,0.0894693128693955,0.011858799401901605,0.15483767194921574,0.02084456682213358,0.0,0.0,0.3394001259682325,0.01077252278499594,5.60662627435704e-16,4.056114391500013e-16
C,s0.12,400,400,11.969999999999999,0.11999999999999998,4.0,20,0.019468648947217143,0.09840705641474867,0.19497987408689846,0.021808228299997602,0.09865618154764641,0.018164109845608754,0.3904481137354488,0.04367107961025325,0.01864466012849267,0.006422693060801407,0.05669019827436186,0.01051314792653855,0.09865618154764641,0.018164109845608754,0.0,0.0,0.34283176827267947,0.01053200927721909,6.328271240363392e-16,5.052429698163665e-16
C,s0.24,400,400,23.939999999999998,0.23999999999999996,4.0,20,0.021494512890720616,0.058697459536611686,0.19138665138056626,0.01973196063445989,0.06090806303421614,0.014057513929620513,0.38325266838762023,0.039513343857188805,0.01669187152250186,0.007528154200794385,0.03385518989829925,0.008242670398146697,0.06090806303421614,0.014057513929620513,0.0,0.0,0.352476746249289,0.009431070116192063,5.551115123125783e-16,4.496060575246782e-16
C,s0.48,400,400,47.879999999999995,0.4799999999999999,4.0,20,0.07555648675526958,0.031612618152390276,0.23689527456089038,0.014093261783104894,0.08063048714521316,0.014382797362602144,0.47438390007328496,0.02822182292076343,0.04115787056220367,0.008644696605650218,0.038636355751563496,0.008768652191292916,0.08063048714521316,0.014382797362602144,0.0,0.0,0.3912862462131239,0.009923718352851793,3.497202527569243e-16,2.413937372787045e-16
