part,tag,seed,P,M,sigma_bins,sigma_x,L,rmse_total,rmse_particle,l2_total,rmse_phi,rmse_phi_x,rmse_ratio,clip,min_phi,endpoint_residual
A,P100,42,100,400,12.0,0.12030075187969924,4.0,0.24001228085514675,0.20222582485468368,0.4806257198190066,0.043041265016473554,0.11030057642635259,0.20222582485468368,0,0.3743759339710011,4.440892098500626e-16
A,P100,43,100,400,12.0,0.12030075187969924,4.0,0.2500891964074047,0.24670510326921183,0.5008047905465678,0.061409210753112155,0.1448334482500887,0.24670510326921183,0,0.33042435962267624,2.220446049250313e-16
A,P100,44,100,400,12.0,0.12030075187969924,4.0,0.2303597041760397,0.20639871056620146,0.46129638967817144,0.03984184043919612,0.10980749298476064,0.20639871056620146,0,0.3235553033189569,4.440892098500626e-16
A,P100,45,100,400,12.0,0.12030075187969924,4.0,0.28909278309507,0.25770972085656624,0.5789096560996597,0.05650552830527913,0.1800694804063313,0.25770972085656624,0,0.35815115186282076,1.1102230246251565e-16
A,P100,46,100,400,12.0,0.12030075187969924,4.0,0.30773164185357643,0.2698609329458802,0.6162340583156384,0.04237845675074982,0.1478093574967658,0.2698609329458802,0,0.31907807842924507,1.1102230246251565e-16
A,P100,47,100,400,12.0,0.12030075187969924,4.0,0.25663411426962546,0.19138794841154347,0.5139110193090228,0.03004541754330285,0.1153848946892873,0.19138794841154347,0,0.3449057113086964,2.220446049250313e-16
A,P100,48,100,400,12.0,0.12030075187969924,4.0,0.22870784241603748,0.12760957467973563,0.45798852874449814,0.02288940909906541,0.06965984129045248,0.12760957467973563,0,0.3661240779315871,2.220446049250313e-16
A,P100,49,100,400,12.0,0.12030075187969924,4.0,0.30759165579735004,0.23126776457408288,0.6159537355804905,0.030295274062695113,0.10703489730165022,0.23126776457408288,0,0.328218648817716,4.440892098500626e-16
A,P100,50,100,400,12.0,0.12030075187969924,4.0,0.2674860142577022,0.21099343670202916,0.5356420000096356,0.028639046911612336,0.11718534966099335,0.21099343670202916,0,0.33722502721615344,7.771561172376096e-16
A,P100,51,100,400,12.0,0.12030075187969924,4.0,0.28894466902948396,0.22986508576646258,0.5786130569875895,0.04406940315065037,0.1268165369653522,0.22986508576646258,0,0.3819622278579864,5.551115123125783e-16
A,P100,52,100,400,12.0,0.12030075187969924,4.0,0.3239952177535399,0.24197271689352803,0.6488019454499996,0.0716108407301263,0.12661898783564368,0.24197271689352803,0,0.3800204437698792,4.440892098500626e-16
A,P100,53,100,400,12.0,0.12030075187969924,4.0,0.3421476940382629,0.22139891967064362,0.6851523644775489,0.06979897827158943,0.1614519371216005,0.22139891967064362,0,0.3444392398920515,0.0
A,P100,54,100,400,12.0,0.12030075187969924,4.0,0.27649379611455316,0.2591454333670194,0.5536801254901166,0.054606884885905385,0.1655617084429809,0.2591454333670194,0,0.3442800565361994,1.1102230246251565e-15
A,P100,55,100,400,12.0,0.12030075187969924,4.0,0.41415482340933596,0.32429485316021384,0.8293469792812779,0.07457972552910472,0.1791368343788101,0.32429485316021384,0,0.2960680737055219,5.551115123125783e-16
A,P100,56,100,400,12.0,0.12030075187969924,4.0,0.2186877387499273,0.16795386662779696,0.4379232240858094,0.0245401633339754,0.0871272033767245,0.16795386662779696,0,0.3291165068423286,4.440892098500626e-16
A,P100,57,100,400,12.0,0.12030075187969924,4.0,0.28894909041350564,0.21349839382538027,0.5786219108298614,0.029033368449172422,0.11455404458511352,0.21349839382538027,0,0.31568349238867754,0.0
A,P100,58,100,400,12.0,0.12030075187969924,4.0,0.22922731486093414,0.18757930878703094,0.45902877475551485,0.030163851286723192,0.11733543715288192,0.18757930878703094,0,0.3436461935294661,6.661338147750939e-16
A,P100,59,100,400,12.0,0.12030075187969924,4.0,0.32979717990266105,0.24831003350610487,0.6604204019070963,0.04471298694308129,0.15290282662699284,0.24831003350610487,0,0.3990073397836347,6.661338147750939e-16
A,P100,60,100,400,12.0,0.12030075187969924,4.0,0.3126639630434031,0.24014136215832002,0.6261110546667946,0.036142659516757096,0.13240317143177158,0.24014136215832002,0,0.39014785767748306,2.220446049250313e-16
A,P100,61,100,400,12.0,0.12030075187969924,4.0,0.2821841181204983,0.20315870603849034,0.5650750220360976,0.03144608542189593,0.11758415994331202,0.20315870603849034,0,0.3189968301527717,0.0
A,P200,42,200,400,12.0,0.12030075187969924,4.0,0.20233139936835906,0.11124951859908086,0.4051695776437981,0.023984839583997802,0.06567860822409348,0.11124951859908086,0,0.31970437474983215,5.551115123125783e-16
A,P200,43,200,400,12.0,0.12030075187969924,4.0,0.2403359377185284,0.15221348567604925,0.48127384420823754,0.017351534018273773,0.06628162429214239,0.15221348567604925,0,0.3028290258631421,1.1102230246251565e-15
A,P200,44,200,400,12.0,0.12030075187969924,4.0,0.18980523061929255,0.1441118182340498,0.3800858658847824,0.030630140410166175,0.0870259272936095,0.1441118182340498,0,0.3140266137753218,5.551115123125783e-16
A,P200,45,200,400,12.0,0.12030075187969924,4.0,0.22532742459307123,0.12286634285161596,0.45121922617521537,0.018576076791875496,0.06712400624776056,0.12286634285161596,0,0.3285893454312956,3.3306690738754696e-16
A,P200,46,200,400,12.0,0.12030075187969924,4.0,0.23170054853187502,0.12206185003402124,0.46398143679906245,0.017720194069682352,0.06670340671332105,0.12206185003402124,0,0.3365604565572695,7.771561172376096e-16
A,P200,47,200,400,12.0,0.12030075187969924,4.0,0.17521629408408054,0.13276995780704182,0.3508714519445979,0.02725809250318319,0.07759746046833482,0.13276995780704182,0,0.3186513620643996,1.7763568394002505e-15
A,P200,48,200,400,12.0,0.12030075187969924,4.0,0.27296808683624824,0.1452700378309378,0.5466198760990424,0.04876945209072083,0.11728185885489757,0.1452700378309378,0,0.35197987514503315,8.881784197001252e-16
A,P200,49,200,400,12.0,0.12030075187969924,4.0,0.2424274244244946,0.188924120565436,0.48546205616124827,0.03326554156164996,0.12243551404826183,0.188924120565436,0,0.33018450443497427,7.771561172376096e-16
A,P200,50,200,400,12.0,0.12030075187969924,4.0,0.2584916704919931,0.13826196082650483,0.5176307843697888,0.03379822756104805,0.08475679183428689,0.13826196082650483,0,0.321811313466138,1.3322676295501878e-15
A,P200,51,200,400,12.0,0.12030075187969924,4.0,0.2792564242205529,0.17363356101837404,0.5592123012492383,0.035435304622713895,0.1106949301994808,0.17363356101837404,0,0.3750877256781525,1.5543122344752192e-15
A,P200,52,200,400,12.0,0.12030075187969924,4.0,0.25718461013255267,0.1874640508919779,0.5150133898603715,0.02177385139886792,0.10032781422987737,0.1874640508919779,0,0.32423009485287146,8.881784197001252e-16
A,P200,53,200,400,12.0,0.12030075187969924,4.0,0.2098640979034913,0.13521586154648355,0.42025384184364767,0.029902460879130514,0.077672640548256,0.13521586154648355,0,0.35240490898275345,1.3322676295501878e-15
A,P200,54,200,400,12.0,0.12030075187969924,4.0,0.27981411990780436,0.15892604071035418,0.560329089482616,0.039676665761940684,0.10840690380880298,0.15892604071035418,0,0.3265599474675567,5.551115123125783e-16
A,P200,55,200,400,12.0,0.12030075187969924,4.0,0.26506948447174333,0.18238400668425153,0.5308028877621189,0.022300747490214354,0.11160516070164835,0.18238400668425153,0,0.31128971081754786,8.881784197001252e-16
A,P200,56,200,400,12.0,0.12030075187969924,4.0,0.20398572171306442,0.12623080961478253,0.40848236590989745,0.022109169106251058,0.07366906278565565,0.12623080961478253,0,0.34493463021033144,1.3322676295501878e-15
