N,seed,l2,runtime_s
500,42,0.01925413,0.0087
500,43,0.03165519,0.0086
500,44,0.01921065,0.0086
500,45,0.01835337,0.0088
500,46,0.01960909,0.0086
500,47,0.02411752,0.0086
500,48,0.04507050,0.0086
500,49,0.03930859,0.0084
500,50,0.02269886,0.0084
500,51,0.02107941,0.0083
500,52,0.03499867,0.0082
500,53,0.02131829,0.0084
500,54,0.02001311,0.0083
500,55,0.02769290,0.0085
500,56,0.03076955,0.0086
500,57,0.03694804,0.0087
500,58,0.02348138,0.0086
500,59,0.03575327,0.0084
500,60,0.03949105,0.0084
500,61,0.02846819,0.0084
500,62,0.03339720,0.0082
500,63,0.04060477,0.0083
500,64,0.03401265,0.0087
500,65,0.01924818,0.0083
500,66,0.02570027,0.0084
500,67,0.01599836,0.0085
500,68,0.02712929,0.0084
500,69,0.04184115,0.0085
500,70,0.01449972,0.0084
500,71,0.01915003,0.0085
1000,42,0.00745960,0.0166
1000,43,0.01338326,0.0172
1000,44,0.00873947,0.0166
1000,45,0.03034462,0.0167
1000,46,0.01947816,0.0170
1000,47,0.02049706,0.0169
1000,48,0.04370738,0.0169
1000,49,0.01158057,0.0167
1000,50,0.02410568,0.0168
1000,51,0.02202719,0.0167
1000,52,0.01932334,0.0167
1000,53,0.01259911,0.0168
1000,54,0.01405950,0.0169
1000,55,0.02112277,0.0169
1000,56,0.01041348,0.0169
1000,57,0.00956977,0.0170
1000,58,0.02194172,0.0166
1000,59,0.01324336,0.0168
1000,60,0.01967649,0.0169
1000,61,0.02218091,0.0167
1000,62,0.01803033,0.0166
1000,63,0.03161198,0.0168
1000,64,0.01430607,0.0167
1000,65,0.01551146,0.0165
1000,66,0.02131025,0.0168
1000,67,0.01722995,0.0168
1000,68,0.03332672,0.0166
1000,69,0.01330420,0.0168
1000,70,0.02531489,0.0168
1000,71,0.01378425,0.0167
2000,42,0.01307091,0.0346
2000,43,0.02154903,0.0332
2000,44,0.00711104,0.0334
2000,45,0.01447220,0.0332
2000,46,0.01495333,0.0334
2000,47,0.01474191,0.0334
2000,48,0.02046386,0.0335
2000,49,0.01256122,0.0337
2000,50,0.01206360,0.0332
2000,51,0.01419770,0.0332
2000,52,0.00987566,0.0332
2000,53,0.01514026,0.0332
2000,54,0.01057374,0.0332
2000,55,0.00750787,0.0335
2000,56,0.01277465,0.0333
2000,57,0.00905189,0.0344
2000,58,0.01169241,0.0334
2000,59,0.01289572,0.0334
2000,60,0.01765064,0.0333
2000,61,0.00958615,0.0333
2000,62,0.01322974,0.0333
2000,63,0.01020868,0.0332
2000,64,0.01112800,0.0332
2000,65,0.01536251,0.0332
2000,66,0.01319985,0.0332
2000,67,0.01541289,0.0333
2000,68,0.02040595,0.0331
2000,69,0.01287907,0.0335
2000,70,0.01462433,0.0334
2000,71,0.02000161,0.0335
5000,42,0.00671723,0.0840
5000,43,0.00927465,0.0853
5000,44,0.00531334,0.0838
5000,45,0.00482646,0.0847
5000,46,0.00729941,0.0839
5000,47,0.01087342,0.0844
5000,48,0.00948875,0.0847
5000,49,0.00789499,0.0848
5000,50,0.00855110,0.0844
5000,51,0.00922459,0.0837
5000,52,0.00989567,0.0851
5000,53,0.01563785,0.0841
5000,54,0.00457349,0.0846
