treatment,N,S,E_bias,E_spread,E_total,identity_residual
coupled,500,30,0.00529827,0.02850072,0.02898901,1.20e-16
coupled,1000,30,0.00261295,0.02040305,0.02056968,1.69e-16
coupled,2000,30,0.00211374,0.01392762,0.01408711,2.46e-16
coupled,5000,30,0.00193585,0.00879809,0.00900855,1.93e-16
coupled,10000,30,0.00219684,0.00702731,0.00736269,1.18e-16
coupled,20000,30,0.00155979,0.00486141,0.00510551,1.70e-16
coupled,50000,30,0.00112524,0.00330198,0.00348845,1.24e-16
fixed300,500,30,0.00767913,0.02858448,0.02959800,2.34e-16
fixed300,1000,30,0.00495082,0.02041731,0.02100897,0.00e+00
fixed300,2000,30,0.00465941,0.01391037,0.01466999,2.36e-16
fixed300,5000,30,0.00548011,0.00879906,0.01036606,1.67e-16
fixed300,10000,30,0.00607696,0.00703449,0.00929589,1.12e-15
fixed300,20000,30,0.00525551,0.00486362,0.00716067,1.33e-15
fixed300,50000,30,0.00457305,0.00330478,0.00564219,4.61e-16
fixed400,500,30,0.00672221,0.02855927,0.02933974,4.73e-16
fixed400,1000,30,0.00404338,0.02042392,0.02082031,1.67e-16
fixed400,2000,30,0.00371374,0.01393420,0.01442061,1.20e-16
fixed400,5000,30,0.00447926,0.00880054,0.00987489,0.00e+00
fixed400,10000,30,0.00505008,0.00703062,0.00865638,0.00e+00
fixed400,20000,30,0.00424508,0.00486171,0.00645422,1.34e-15
fixed400,50000,30,0.00356205,0.00330094,0.00485638,2.32e-15
fixed300e,500,30,0.00429709,0.02858448,0.02890566,1.20e-16
fixed300e,1000,30,0.00255259,0.02041731,0.02057625,1.69e-16
fixed300e,2000,30,0.00191478,0.01391037,0.01404154,1.24e-16
fixed300e,5000,30,0.00185012,0.00879906,0.00899147,3.86e-16
fixed300e,10000,30,0.00213355,0.00703449,0.00735093,9.44e-16
fixed300e,20000,30,0.00153713,0.00486362,0.00510075,8.50e-16
fixed300e,50000,30,0.00112200,0.00330478,0.00349005,1.62e-15
fixed400e,500,30,0.00428869,0.02855927,0.02887949,1.20e-16
fixed400e,1000,30,0.00254987,0.02042392,0.02058248,1.69e-16
fixed400e,2000,30,0.00191927,0.01393420,0.01406576,0.00e+00
fixed400e,5000,30,0.00185016,0.00880054,0.00899292,0.00e+00
fixed400e,10000,30,0.00213324,0.00703062,0.00734713,1.18e-16
fixed400e,20000,30,0.00154008,0.00486171,0.00509981,1.36e-15
fixed400e,50000,30,0.00112252,0.00330094,0.00348658,2.49e-16
